feature_name,data_type,unique_values,std_dev,top_value_frequency_pct,is_constant,is_near_constant,is_empty
material_id,int64,37,95.119389,15.09,False,False,False
material_name,float64,1,0.0,100.0,True,False,False
barcode,float64,1,0.0,100.0,True,False,False
batch_number,float64,1,0.0,100.0,True,False,False
current_stock,int64,13,45.330347,33.96,False,False,False
threshold,int64,4,17.52771,86.79,False,False,False
unit,float64,1,0.0,100.0,True,False,False
weight,float64,1,0.0,100.0,True,False,False
transaction_type,float64,1,0.0,100.0,True,False,False
quantity,float64,1,0.0,100.0,True,False,False
rack_code,float64,1,0.0,100.0,True,False,False
rack_capacity,float64,1,0.0,100.0,True,False,False
current_rack_quantity,float64,1,0.0,100.0,True,False,False
occupancy_percentage,float64,1,0.0,100.0,True,False,False
movement_type,float64,1,0.0,100.0,True,False,False
source_location,float64,1,0.0,100.0,True,False,False
destination_location,float64,1,0.0,100.0,True,False,False
day_of_week,float64,1,0.0,100.0,True,False,False
week_number,float64,1,0.0,100.0,True,False,False
month,int64,3,0.304776,90.57,False,False,False
year,int64,1,0.0,100.0,True,False,False
hour,int64,10,10.080014,26.42,False,False,False
weekend_flag,int64,2,0.445099,73.58,False,False,False
