feature_name,importance,rank
material_id,0.44116459560292215,1
hour,0.27679933764501136,2
current_stock,0.2319779512501173,3
weekend_flag,0.028534811319624393,4
month,0.02017846907629339,5
threshold,0.0013448351060313917,6
barcode,0.0,7
unit,0.0,8
batch_number,0.0,9
material_name,0.0,10
weight,0.0,11
rack_capacity,0.0,12
transaction_type,0.0,13
quantity,0.0,14
rack_code,0.0,15
movement_type,0.0,16
occupancy_percentage,0.0,17
current_rack_quantity,0.0,18
source_location,0.0,19
week_number,0.0,20
day_of_week,0.0,21
destination_location,0.0,22
year,0.0,23
