feature_name,quality_score,quality_grade,rf_importance,pearson_r
material_id,89,Excellent,0.441165,0.0707
hour,81,Good,0.276799,0.0194
current_stock,80,Good,0.231978,0.0803
month,72,Good,0.020178,0.0907
weekend_flag,72,Good,0.028535,0.0797
threshold,70,Good,0.001345,0.0052
movement_type,60,Fair,0.0,0.0
transaction_type,60,Fair,0.0,0.0
material_name,60,Fair,0.0,0.0
rack_code,50,Fair,0.0,0.0
barcode,50,Fair,0.0,0.0
batch_number,36,Poor,0.0,0.0
year,20,Unused,0.0,0.0
quantity,20,Unused,0.0,0.0
unit,0,Unused,0.0,0.0
weight,0,Unused,0.0,0.0
user_id,0,Unused,0.0,0.0
occupancy_percentage,0,Unused,0.0,0.0
current_rack_quantity,0,Unused,0.0,0.0
rack_capacity,0,Unused,0.0,0.0
timestamp,0,Unused,0.0,0.0
week_number,0,Unused,0.0,0.0
day_of_week,0,Unused,0.0,0.0
destination_location,0,Unused,0.0,0.0
source_location,0,Unused,0.0,0.0
