material_id,material_name,barcode,batch_number,current_stock,threshold,unit,weight,transaction_type,quantity,user_id,rack_code,timestamp,rack_capacity,current_rack_quantity,occupancy_percentage,movement_type,source_location,destination_location,quantity_used,day_of_week,week_number,month,year,hour,weekend_flag
16,Dark Blue Paint,BAR-1780152194845-6115,DB001,100,0,,,inward,,,A1,,,,,INWARD,,,0,,,5,2026,13,1
17,Assigned Paint Blue,BARCODE-A-1781202799994,B-ASSIGN-A,15,10,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
19,Assigned Paint Blue,BARCODE-A-1781202870908,B-ASSIGN-A,15,10,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
22,Auto Assigned Paint Red,BARCODE-B-1781202910167,B-ASSIGN-B,25,10,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
21,Assigned Paint Blue,BARCODE-A-1781202910153,B-ASSIGN-A,15,10,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
24,Auto Assigned Paint Red,BARCODE-B-1781203530426,B-ASSIGN-B,25,10,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
23,Assigned Paint Blue,BARCODE-A-1781203530407,B-ASSIGN-A,15,10,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
26,Auto Assigned Paint Red,BARCODE-B-1781203583930,B-ASSIGN-B,25,10,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
25,Assigned Paint Blue,BARCODE-A-1781203583916,B-ASSIGN-A,15,10,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
27,Test Chemical X,BARCODE-CHEM-1781204505286,B-CHEM-X,55,5,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
29,Test Chemical X,BARCODE-CHEM-1781204586033,B-CHEM-X,61,5,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
29,Test Chemical X,BARCODE-CHEM-1781204586033,B-CHEM-X,61,5,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
31,Test Chemical X 1781204661736,BARCODE-CHEM-1781204661736,B-CHEM-X,61,5,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
31,Test Chemical X 1781204661736,BARCODE-CHEM-1781204661736,B-CHEM-X,61,5,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
33,Test Chemical X 1781204691031,BARCODE-CHEM-1781204691031,B-CHEM-X,61,5,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
33,Test Chemical X 1781204691031,BARCODE-CHEM-1781204691031,B-CHEM-X,61,5,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,0,0
51,Dark Blue Paint,DB011,N/A,200,10,,,inward,,,A1,,,,,INWARD,,,0,,,6,2026,2,0
51,Dark Blue Paint,DB011,N/A,200,10,,,inward,,,A1,,,,,INWARD,,,0,,,6,2026,2,0
51,Dark Blue Paint,DB011,N/A,200,10,,,inward,,,A1,,,,,INWARD,,,0,,,6,2026,2,0
72,PINK,PI002,N/A,60,10,,,inward,,,A2,,,,,INWARD,,,0,,,6,2026,3,0
93,Green,GR003,N/A,10,10,,,inward,,,A3,,,,,INWARD,,,0,,,6,2026,3,0
97,GREISH BLACK,GB002,N/A,10,10,,,inward,,,A4,,,,,INWARD,,,0,,,6,2026,15,0
98,Test Paint Product,TP001,B-TEST-001,0,10,,,inward,,,RACK-01,,,,,INWARD,,,0,,,6,2026,15,0
98,Test Paint Product,TP001,B-TEST-001,0,10,,,outward,,,RACK-01,,,,,OUTWARD,,,25.5,,,6,2026,18,0
