material_id,material_name,barcode,batch_number,current_stock,threshold,unit,weight,transaction_type,quantity,user_id,rack_code,timestamp,rack_capacity,current_rack_quantity,occupancy_percentage,movement_type,source_location,destination_location,quantity_used,day_of_week,week_number,month,year,hour,weekend_flag
16,Dark Blue Paint,BAR-1780152194845-6115,DB001,100,0,KG,100,inward,50,System Operator,A1,2026-05-31T08:25:34.000Z,999999999,150,0,INWARD,Ingress Port,A1,0,Sunday,22,5,2026,13,1
17,Assigned Paint Blue,BARCODE-A-1781202799994,B-ASSIGN-A,15,10,KG,15,inward,15,System Operator,RACK-01,2026-06-11T18:33:20.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
19,Assigned Paint Blue,BARCODE-A-1781202870908,B-ASSIGN-A,15,10,KG,15,inward,15,System Operator,RACK-01,2026-06-11T18:34:30.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
21,Assigned Paint Blue,BARCODE-A-1781202910153,B-ASSIGN-A,15,10,KG,15,inward,15,System Operator,RACK-01,2026-06-11T18:35:10.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
22,Auto Assigned Paint Red,BARCODE-B-1781202910167,B-ASSIGN-B,25,10,KG,25,inward,25,System Operator,RACK-01,2026-06-11T18:35:10.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
23,Assigned Paint Blue,BARCODE-A-1781203530407,B-ASSIGN-A,15,10,KG,15,inward,15,System Operator,RACK-01,2026-06-11T18:45:30.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
24,Auto Assigned Paint Red,BARCODE-B-1781203530426,B-ASSIGN-B,25,10,KG,25,inward,25,System Operator,RACK-01,2026-06-11T18:45:30.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
25,Assigned Paint Blue,BARCODE-A-1781203583916,B-ASSIGN-A,15,10,KG,15,inward,15,System Operator,RACK-01,2026-06-11T18:46:23.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
26,Auto Assigned Paint Red,BARCODE-B-1781203583930,B-ASSIGN-B,25,10,KG,25,inward,25,System Operator,RACK-01,2026-06-11T18:46:23.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
27,Test Chemical X,BARCODE-CHEM-1781204505286,B-CHEM-X,55,5,Liters,55,inward,5,System Operator,RACK-01,2026-06-11T19:01:45.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
29,Test Chemical X,BARCODE-CHEM-1781204586033,B-CHEM-X,61,5,Liters,61,inward,5,System Operator,RACK-01,2026-06-11T19:03:06.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
29,Test Chemical X,BARCODE-CHEM-1781204586033,B-CHEM-X,61,5,Liters,61,inward,6,System Operator,RACK-01,2026-06-11T19:03:06.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
31,Test Chemical X 1781204661736,BARCODE-CHEM-1781204661736,B-CHEM-X,61,5,Liters,61,inward,5,System Operator,RACK-01,2026-06-11T19:04:21.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
31,Test Chemical X 1781204661736,BARCODE-CHEM-1781204661736,B-CHEM-X,61,5,Liters,61,inward,6,System Operator,RACK-01,2026-06-11T19:04:21.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
33,Test Chemical X 1781204691031,BARCODE-CHEM-1781204691031,B-CHEM-X,61,5,Liters,61,inward,5,System Operator,RACK-01,2026-06-11T19:04:51.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
33,Test Chemical X 1781204691031,BARCODE-CHEM-1781204691031,B-CHEM-X,61,5,Liters,61,inward,6,System Operator,RACK-01,2026-06-11T19:04:51.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,0,0
51,Dark Blue Paint,DB011,N/A,200,10,KG,200,inward,50,System Operator,A1,2026-06-11T21:14:46.000Z,999999999,150,0,INWARD,Ingress Port,A1,0,Friday,24,6,2026,2,0
51,Dark Blue Paint,DB011,N/A,200,10,KG,200,inward,50,System Operator,A1,2026-06-11T21:15:03.000Z,999999999,150,0,INWARD,Ingress Port,A1,0,Friday,24,6,2026,2,0
51,Dark Blue Paint,DB011,N/A,200,10,KG,200,inward,50,System Operator,A1,2026-06-11T21:15:24.000Z,999999999,150,0,INWARD,Ingress Port,A1,0,Friday,24,6,2026,2,0
72,PINK,PI002,N/A,60,10,KG,60,inward,30,System Operator,A2,2026-06-11T21:35:57.000Z,999999999,540,0,INWARD,Ingress Port,A2,0,Friday,24,6,2026,3,0
93,Green,GR003,N/A,10,10,KG,10,inward,5,System Operator,A3,2026-06-11T21:37:19.000Z,999999999,5,0,INWARD,Ingress Port,A3,0,Friday,24,6,2026,3,0
97,GREISH BLACK,GB002,N/A,10,10,KG,10,inward,5,System Operator,A4,2026-06-12T09:45:48.000Z,999999999,5,0,INWARD,Ingress Port,A4,0,Friday,24,6,2026,15,0
98,Test Paint Product,TP001,B-TEST-001,0,10,KG,0,inward,25.5,System Operator,RACK-01,2026-06-12T09:55:04.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,15,0
98,Test Paint Product,TP001,B-TEST-001,0,10,KG,0,outward,25.5,3,RACK-01,2026-06-12T13:09:37.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,25.5,Friday,24,6,2026,18,0
71,PINK,PI001,N/A,60,10,KG,60,inward,30,1,A2,2026-06-12T13:13:06.000Z,999999999,540,0,INWARD,Ingress Port,A2,0,Friday,24,6,2026,18,0
170,CREAM,CR001,N/A,0,100,KG,0,inward,20,6,RACK-01,2026-06-12T15:00:18.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,24,6,2026,20,0
170,CREAM,CR001,N/A,0,100,KG,0,outward,20,6,RACK-01,2026-06-12T15:04:45.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,20,Friday,24,6,2026,20,0
